name,url
Maryville University of St. Louis,http://www.maryvillestl.edu/
Texas Tech University,http://www.ttu.edu/
University of Idaho,http://www.uidaho.edu/
University of La Verne,http://www.ulaverne.edu/
University of Louisville,http://www.louisville.edu/
University of Wyoming,http://www.uwyo.edu/
Florida Institute of Technology,http://www.fit.edu/
Virginia Commonwealth University,http://www.vcu.edu/
Vanderbilt University,http://www.vanderbilt.edu/
University of Central Florida,http://www.ucf.edu/
University of South Florida,http://www.usf.edu/
West Virginia University,http://www.wvu.edu/
Azusa Pacific University,http://www.apu.edu/
Pace University,http://www.pace.edu/
St. Mary's University of Minnesota,http://www.smumn.edu/
University of North Dakota,http://www.und.nodak.edu/
Biola University,http://www.biola.edu/
Indiana University of Pennsylvania,http://www.iup.edu/
Northern Illinois University,http://www.niu.edu/
Rice University,http://www.rice.edu/
University of Notre Dame,http://www.nd.edu/
Andrews University,http://www.andrews.edu/
Ball State University,http://www.bsu.edu/
Bowling Green State University,http://www.bgsu.edu/
East Carolina University,http://www.ecu.edu/
University of Alabama - Huntsville,http://www.uah.edu/
University of Nevada - Reno,http://www.unr.edu/
University of New Mexico,http://www.unm.edu/
Western Michigan University,http://www.wmich.edu/
Widener University,http://www.widener.edu/
Central Michigan University,http://www.cmich.edu/
Edgewood College,http://www.edgewood.edu/
Immaculata University,http://www.immaculata.edu/
Louisiana Tech University,http://www.latech.edu/
New Mexico State University,http://www.nmsu.edu/
North Dakota State University,http://www.ndsu.nodak.edu/
University of Houston,http://www.uh.edu/
University of South Dakota,http://www.usd.edu/
Utah State University,http://www.usu.edu/
Harvard University,http://www.harvard.edu/
Emory University,http://www.emory.edu/
Georgetown University,http://www.georgetown.edu/
"University of California, Berkeley",http://www.berkeley.edu/
Kent State University,http://www.kent.edu/
Montana State University,http://www.montana.edu/
South Dakota State University,http://www.sdstate.edu/
University of Missouri - Kansas City,http://www.umkc.edu/
University of Montana,http://www.umt.edu/
Carnegie Mellon University,http://www.cmu.edu/
"University of California, Los Angeles",http://www.ucla.edu/
University of Southern California,http://www.usc.edu/
University of Virginia,http://www.virginia.edu/
Wake Forest University,http://www.wfu.edu/
Tufts University,http://www.tufts.edu/
University of Michigan - Ann Arbor,http://www.umich.edu/
Yale University,http://www.yale.edu/
Boston College,http://www.bc.edu/
Brandeis University,http://www.brandeis.edu/
College of William and Mary,http://www.wm.edu/
New York University,http://www.nyu.edu/
University of Rochester,http://www.rochester.edu/
Georgia Institute of Technology,http://www.gatech.edu/
Case Western Reserve University,http://www.cwru.edu/
"University of California, Davis",http://www.ucdavis.edu/
"University of California, San Diego",http://www.ucsd.edu/
Columbia University,http://www.columbia.edu/
Boston University,http://www.bu.edu/
Rensselaer Polytechnic Institute,http://www.rpi.edu/
"University of California, Santa Barbara",http://www.ucsb.edu/
University of Wisconsin - Madison,http://www.wisc.edu/
University of Miami,http://www.miami.edu/
Yeshiva University,http://www.yu.edu/
Northeastern University,http://www.neu.edu/
"University of California, Irvine",http://www.uci.edu/
University of Florida,http://www.ufl.edu/
Stanford University,http://www.stanford.edu/
University of Chicago,http://www.uchicago.edu/
George Washington University,http://www.gwu.edu/
University of Washington,http://www.washington.edu/
Fordham University,http://www.fordham.edu/
Pepperdine University,http://www.pepperdine.edu/
University of Connecticut,http://www.uconn.edu/
Southern Methodist University,http://www.smu.edu/
University of Georgia,http://www.uga.edu/
Clemson University,http://www.clemson.edu/
Syracuse University,http://www.syr.edu/
University of Pittsburgh,http://www.pitt.edu/
Worcester Polytechnic Institute,http://www.wpi.edu/
Duke University,http://www.duke.edu/
Massachusetts Institute of Technology,http://www.mit.edu/
University of Pennsylvania,http://www.upenn.edu/
Michigan State University,http://www.msu.edu/
University of Iowa,http://www.uiowa.edu/
American University,http://www.american.edu/
Baylor University,http://www.baylor.edu/
Clark University,http://www.clarku.edu/
Marquette University,http://www.mu.edu/
University of Delaware,http://www.udel.edu/
Stevens Institute of Technology,http://www.stevens-tech.edu/
Texas Christian University,http://www.tcu.edu/
University of Vermont,http://www.uvm.edu/
"University of California, Santa Cruz",http://www.ucsc.edu/
University of Tulsa,http://www.utulsa.edu/
Auburn University,http://www.auburn.edu/
Colorado School of Mines,http://www.mines.edu/
Florida State University,http://www.fsu.edu/
University of Denver,http://www.du.edu/
University of San Diego,http://www.sandiego.edu/
Drexel University,http://www.drexel.edu/
University of New Hampshire,http://www.unh.edu/
University of Texas - Austin,https://www.utexas.edu/
University of Illinois Urbana-Champaign,https://illinois.edu/
